Latex,Mathml,Description
,&#x00020;,SPACE
\rightleftarrows,&#x021C4;,"= \rightleftarrow (wrisym), right arrow over left arrow"
\updownarrows,&#x021C5;,"= \uparrowdownarrow (wrisym), up arrow, down arrow"
\leftrightarrows,&#x021C6;,"= \leftrightarrow (wrisym), left arrow over right arrow"
\leftleftarrows,&#x021C7;,two left arrows
\upuparrows,&#x021C8;,two up arrows
\rightrightarrows,&#x021C9;,two right arrows
\downdownarrows,&#x021CA;,two down arrows
\leftrightharpoons,&#x021CB;,"= \revequilibrium (wrisym), left harpoon over right"
\rightleftharpoons,&#x021CC;,"= \equilibrium (wrisym), right harpoon over left"
\nLeftarrow,&#x021CD;,not implied by
\nLeftrightarrow,&#x021CE;,not left and right double arrows
\nRightarrow,&#x021CF;,not implies
\Leftarrow,&#x021D0;,left double arrow
\Uparrow,&#x021D1;,up double arrow
\Rightarrow,&#x021D2;,right double arrow
\Downarrow,&#x021D3;,down double arrow
\Leftrightarrow,&#x021D4;,left and right double arrow
\Updownarrow,&#x021D5;,up and down double arrow
\Nwarrow,&#x021D6;,nw pointing double arrow
\Nearrow,&#x021D7;,ne pointing double arrow
\Searrow,&#x021D8;,se pointing double arrow
\Swarrow,&#x021D9;,sw pointing double arrow
\Lleftarrow,&#x021DA;,left triple arrow
\Rrightarrow,&#x021DB;,right triple arrow
\leftsquigarrow,&#x021DC;,LEFTWARDS SQUIGGLE ARROW
\rightsquigarrow,&#x021DD;,RIGHTWARDS SQUIGGLE ARROW
,&#x021DE;,UPWARDS ARROW WITH DOUBLE STROKE
,&#x021DF;,DOWNWARDS ARROW WITH DOUBLE STROKE
\dashleftarrow,&#x021E0;,LEFTWARDS DASHED ARROW
,&#x021E1;,UPWARDS DASHED ARROW
\dashrightarrow,&#x021E2;,"= \dasharrow (amsfonts), RIGHTWARDS DASHED ARROW"
,&#x021E3;,DOWNWARDS DASHED ARROW
\LeftArrowBar,&#x021E4;,LEFTWARDS ARROW TO BAR
\RightArrowBar,&#x021E5;,RIGHTWARDS ARROW TO BAR
,&#x021E6;,LEFTWARDS WHITE ARROW
,&#x021E7;,UPWARDS WHITE ARROW
,&#x021E8;,RIGHTWARDS WHITE ARROW
,&#x021E9;,DOWNWARDS WHITE ARROW
,&#x021EA;,UPWARDS WHITE ARROW FROM BAR
,&#x021EB;,UPWARDS WHITE ARROW ON PEDESTAL
,&#x021EC;,UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
,&#x021ED;,UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
,&#x021EE;,UPWARDS WHITE DOUBLE ARROW
,&#x021EF;,UPWARDS WHITE DOUBLE ARROW ON PEDESTAL
,&#x021F0;,RIGHTWARDS WHITE ARROW FROM WALL
,&#x021F1;,NORTH WEST ARROW TO CORNER
,&#x021F2;,SOUTH EAST ARROW TO CORNER
,&#x021F3;,UP DOWN WHITE ARROW
,&#x021F4;,RIGHT ARROW WITH SMALL CIRCLE
\downuparrows,&#x021F5;,"= \downarrowuparrow (wrisym), DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW"
,&#x021F6;,THREE RIGHTWARDS ARROWS
,&#x021F7;,LEFTWARDS ARROW WITH VERTICAL STROKE
\pfun,&#x021F8;,"RIGHTWARDS ARROW WITH VERTICAL STROKE, z notation partial function"
,&#x021F9;,"LEFT RIGHT ARROW WITH VERTICAL STROKE, z notation partial relation"
,&#x021FA;,LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
\ffun,&#x021FB;,"RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE, z notation finite function"
,&#x021FC;,"LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE, z notation finite relation"
\leftarrowtriangle,&#x021FD;,LEFTWARDS OPEN-HEADED ARROW
\rightarrowtriangle,&#x021FE;,RIGHTWARDS OPEN-HEADED ARROW
\leftrightarrowtriangle,&#x021FF;,LEFT RIGHT OPEN-HEADED ARROW
\forall,&#x02200;,FOR ALL
\complement,&#x02201;,COMPLEMENT sign
\partial,&#x02202;,"= \partialup (kpfonts), PARTIAL DIFFERENTIAL"
\exists,&#x02203;,"= \exi (oz), at least one exists"
\nexists,&#x02204;,"= \nexi (oz), negated exists"
\varnothing,&#x02205;,"circle, slash"
,&#x02206;,"# \mathrm{\Delta}, laplacian (Delta; nabla square)"
\nabla,&#x02207;,"NABLA, del, hamilton operator"
\in,&#x02208;,"set membership, variant"
\notin,&#x02209;,"= \nin (wrisym), negated set membership"
,&#x0220A;,set membership (small set membership)
\ni,&#x0220B;,"= \owns, contains, variant"
\nni,&#x0220C;,"= \notni (txfonts), = \notowner (mathabx), = \notowns (fourier), negated contains, variant"
,&#x0220D;,r: contains (SMALL CONTAINS AS MEMBER)
,&#x0220E;,"# \blacksquare (amssymb), END OF PROOF"
\prod,&#x0220F;,product operator
\coprod,&#x02210;,coproduct operator
\sum,&#x02211;,summation operator
-,&#x02212;,MINUS SIGN
\mp,&#x02213;,MINUS-OR-PLUS SIGN
\dotplus,&#x02214;,"plus sign, dot above"
\slash,&#x02215;,DIVISION SLASH
\smallsetminus,&#x02216;,small SET MINUS (cf. reverse solidus)
\ast,&#x02217;,ASTERISK OPERATOR (Hodge star operator)
\circ,&#x02218;,composite function (small circle)
\bullet,&#x02219;,BULLET OPERATOR
\sqrt,&#x0221A;,radical
\sqrt[3],&#x0221B;,CUBE ROOT
\sqrt[4],&#x0221C;,FOURTH ROOT
\propto,&#x0221D;,"# \varpropto (amssymb), is PROPORTIONAL TO"
\infty,&#x0221E;,INFINITY
\rightangle,&#x0221F;,right (90 degree) angle
\angle,&#x02220;,ANGLE
\measuredangle,&#x02221;,MEASURED ANGLE
\sphericalangle,&#x02222;,SPHERICAL ANGLE
\mid,&#x02223;,r: DIVIDES
\nmid,&#x02224;,"negated mid, DOES NOT DIVIDE"
\parallel,&#x02225;,parallel
\nparallel,&#x02226;,not parallel
\wedge,&#x02227;,"= \land, b: LOGICAL AND"
\vee,&#x02228;,"= \lor, b: LOGICAL OR"
\cap,&#x02229;,INTERSECTION
\cup,&#x0222A;,UNION or logical sum
\int,&#x0222B;,INTEGRAL operator
\iint,&#x0222C;,DOUBLE INTEGRAL operator
\iiint,&#x0222D;,TRIPLE INTEGRAL operator
\oint,&#x0222E;,CONTOUR INTEGRAL operator
\oiint,&#x0222F;,"= \dbloint (wrisym), double contour integral operator"
\oiiint,&#x02230;,triple contour integral operator
,&#x02231;,CLOCKWISE INTEGRAL
\varointclockwise,&#x02232;,"= \clockoint (wrisym), contour integral, clockwise"
\ointctrclockwise,&#x02233;,"= \cntclockoint (wrisym), contour integral, anticlockwise"
\therefore,&#x02234;,"= \wasytherefore (wasysym), THEREFORE"
\because,&#x02235;,BECAUSE
:,&#x02236;,"x \colon, RATIO"
\Proportion,&#x02237;,"# ::, two colons"
,&#x02238;,"minus sign, dot above"
\eqcolon,&#x02239;,"# -: ,EXCESS"
,&#x0223A;,"minus with four dots, GEOMETRIC PROPORTION"
,&#x0223B;,HOMOTHETIC
\sim,&#x0223C;,"similar to, TILDE OPERATOR"
\backsim,&#x0223D;,reverse similar
,&#x0223E;,"most positive, INVERTED LAZY S"
\AC,&#x0223F;,"SINE WAVE, alternating current"
\wr,&#x02240;,WREATH PRODUCT
\nsim,&#x02241;,not similar
\eqsim,&#x02242;,"equals, similar"
\simeq,&#x02243;,"similar, equals"
\nsimeq,&#x02244;,"not similar, equals"
\cong,&#x02245;,congruent with
,&#x02246;,"similar, not equals [vert only for 9573 entity]"
\ncong,&#x02247;,not congruent with
\approx,&#x02248;,approximate
\napprox,&#x02249;,not approximate
\approxeq,&#x0224A;,"approximate, equals"
,&#x0224B;,approximately identical to
,&#x0224C;,ALL EQUAL TO
\asymp,&#x0224D;,asymptotically equal to
\Bumpeq,&#x0224E;,bumpy equals
\bumpeq,&#x0224F;,"bumpy equals, equals"
\doteq,&#x02250;,"= \dotequal (wrisym), equals, single dot above"
\Doteq,&#x02251;,"= \doteqdot (amssymb), /doteq r: equals, even dots"
\fallingdotseq,&#x02252;,"equals, falling dots"
\risingdotseq,&#x02253;,"equals, rising dots"
\coloneq,&#x02254;,"= \coloneqq (txfonts), = \SetDelayed (wrisym), # := colon, equals"
\eqcolon,&#x02255;,"= \eqqcolon (txfonts), # =:, equals, colon"
\eqcirc,&#x02256;,circle on equals sign
\circeq,&#x02257;,"circle, equals"
,&#x02258;,"arc, equals; CORRESPONDS TO"
\corresponds,&#x02259;,"= \sdef (oz), t \Corresponds (marvosym), corresponds to (wedge over equals)"
,&#x0225A;,"logical or, equals"
,&#x0225B;,STAR EQUALS
\triangleq,&#x0225C;,"= \varsdef (oz), triangle, equals"
,&#x0225D;,equals by definition
,&#x0225E;,MEASURED BY (m over equals)
,&#x0225F;,equal with questionmark
\neq,&#x02260;,"= \ne, r: not equal"
\equiv,&#x02261;,identical with
\nequiv,&#x02262;,not identical with
,&#x02263;,strict equivalence (4 lines)
\leq,&#x02264;,"= \le, r: less-than-or-equal"
\geq,&#x02265;,"= \ge, r: greater-than-or-equal"
\leqq,&#x02266;,"less, double equals"
\geqq,&#x02267;,"greater, double equals"
\lneqq,&#x02268;,"less, not double equals"
\gneqq,&#x02269;,"greater, not double equals"
\ll,&#x0226A;,"much less than, type 2"
\gg,&#x0226B;,"much greater than, type 2"
\between,&#x0226C;,BETWEEN
\notasymp,&#x0226D;,"= \nasymp (wrisym), not asymptotically equal to"
\nless,&#x0226E;,NOT LESS-THAN
\ngtr,&#x0226F;,NOT GREATER-THAN
\nleq,&#x02270;,"= \nleqslant (fourier), not less-than-or-equal"
\ngeq,&#x02271;,"= \ngeqslant (fourier), not greater-than-or-equal"
\lesssim,&#x02272;,"= \apprle (wasysym), = \LessTilde (wrisym), less, similar"
\gtrsim,&#x02273;,"= \apprge (wasysym), = \GreaterTilde (wrisym), greater, similar"
\NotLessTilde,&#x02274;,"not less, similar"
\NotGreaterTilde,&#x02275;,"not greater, similar"
\lessgtr,&#x02276;,"less, greater"
\gtrless,&#x02277;,"= \GreaterLess (wrisym), greater, less"
,&#x02278;,"not less, greater"
\NotGreaterLess,&#x02279;,"not greater, less"
\prec,&#x0227A;,PRECEDES
\succ,&#x0227B;,SUCCEEDS
\preccurlyeq,&#x0227C;,"= \PrecedesSlantEqual (wrisym), precedes, curly equals"
\succcurlyeq,&#x0227D;,"= \SucceedsSlantEqual (wrisym), succeeds, curly equals"
\precsim,&#x0227E;,"= \PrecedesTilde (wrisym), precedes, similar"
\succsim,&#x0227F;,"= \SucceedsTilde (wrisym), succeeds, similar"
\nprec,&#x02280;,not precedes
\nsucc,&#x02281;,not succeeds
\subset,&#x02282;,subset or is implied by
\supset,&#x02283;,superset or implies
\nsubset,&#x02284;,"not subset, variant [slash negation]"
\nsupset,&#x02285;,"not superset, variant [slash negation]"
\subseteq,&#x02286;,"subset, equals"
\supseteq,&#x02287;,"superset, equals"
\nsubseteq,&#x02288;,"not subset, equals"
\nsupseteq,&#x02289;,"not superset, equals"
\subsetneq,&#x0228A;,"= \varsubsetneq (fourier), subset, not equals"
\supsetneq,&#x0228B;,"superset, not equals"
,&#x0228C;,MULTISET
,&#x0228D;,"union, with dot"
\uplus,&#x0228E;,"= \buni (oz), plus sign in union"
\sqsubset,&#x0228F;,square subset
\sqsupset,&#x02290;,square superset
\sqsubseteq,&#x02291;,"square subset, equals"
\sqsupseteq,&#x02292;,"square superset, equals"
\sqcap,&#x02293;,square intersection
\sqcup,&#x02294;,square union
\oplus,&#x02295;,plus sign in circle
\ominus,&#x02296;,minus sign in circle
\otimes,&#x02297;,multiply sign in circle
\oslash,&#x02298;,solidus in circle
\odot,&#x02299;,middle dot in circle
\circledcirc,&#x0229A;,small circle in circle
\circledast,&#x0229B;,asterisk in circle
,&#x0229C;,equal in circle
\circleddash,&#x0229D;,hyphen in circle
\boxplus,&#x0229E;,plus sign in box
\boxminus,&#x0229F;,minus sign in box
\boxtimes,&#x022A0;,multiply sign in box
\boxdot,&#x022A1;,/dotsquare /boxdot b: small dot in box
\vdash,&#x022A2;,"RIGHT TACK, proves, implies, yields, (vertical, dash)"
\dashv,&#x022A3;,"LEFT TACK, non-theorem, does not yield, (dash, vertical)"
\top,&#x022A4;,"DOWN TACK, top"
\bot,&#x022A5;,"UP TACK, bottom"
,&#x022A6;,"# \vdash, ASSERTION (vertical, short dash)"
\models,&#x022A7;,"MODELS (vertical, short double dash)"
\vDash,&#x022A8;,"TRUE (vertical, double dash)"
\Vdash,&#x022A9;,"double vertical, dash"
\Vvdash,&#x022AA;,"triple vertical, dash"
\VDash,&#x022AB;,"double vert, double dash"
\nvdash,&#x022AC;,"not vertical, dash"
\nvDash,&#x022AD;,"not vertical, double dash"
\nVdash,&#x022AE;,"not double vertical, dash"
\nVDash,&#x022AF;,"not double vert, double dash"
,&#x022B0;,element PRECEDES UNDER RELATION
,&#x022B1;,SUCCEEDS UNDER RELATION
\vartriangleleft,&#x022B2;,"left triangle, open, variant"
\vartriangleright,&#x022B3;,"right triangle, open, variant"
\trianglelefteq,&#x022B4;,"= \unlhd (wrisym), left triangle, equals"
\trianglerighteq,&#x022B5;,"= \unrhd (wrisym), right triangle, equals"
\multimapdotbothA,&#x022B6;,ORIGINAL OF
\multimapdotbothB,&#x022B7;,IMAGE OF
\multimap,&#x022B8;,/MULTIMAP a:
,&#x022B9;,HERMITIAN CONJUGATE MATRIX
\intercal,&#x022BA;,intercal
\veebar,&#x022BB;,"logical or, bar below (large vee); exclusive disjunction"
\barwedge,&#x022BC;,logical NAND (bar over wedge)
,&#x022BD;,"bar, vee (large vee)"
,&#x022BE;,right angle-measured [with arc]
,&#x022BF;,RIGHT TRIANGLE
\bigwedge,&#x022C0;,logical or operator
\bigvee,&#x022C1;,logical and operator
\bigcap,&#x022C2;,"= \dint (oz), \dinter (oz), intersection operator"
\bigcup,&#x022C3;,"= \duni (oz), \dunion (oz), union operator"
\diamond,&#x022C4;,DIAMOND OPERATOR (white diamond)
\cdot,&#x022C5;,DOT OPERATOR (small middle dot)
\star,&#x022C6;,"small star, filled, low"
\divideontimes,&#x022C7;,division on times
\bowtie,&#x022C8;,"= \lrtimes (txfonts), BOWTIE"
\ltimes,&#x022C9;,"times sign, left closed"
\rtimes,&#x022CA;,"times sign, right closed"
\leftthreetimes,&#x022CB;,LEFT SEMIDIRECT PRODUCT
\rightthreetimes,&#x022CC;,RIGHT SEMIDIRECT PRODUCT
\backsimeq,&#x022CD;,"reverse similar, equals"
\curlyvee,&#x022CE;,CURLY LOGICAL OR
\curlywedge,&#x022CF;,CURLY LOGICAL AND
\Subset,&#x022D0;,DOUBLE SUBSET
\Supset,&#x022D1;,DOUBLE SUPERSET
\Cap,&#x022D2;,/cap /doublecap b: DOUBLE INTERSECTION
\Cup,&#x022D3;,/cup /doublecup b: DOUBLE UNION
\pitchfork,&#x022D4;,PITCHFORK
\hash,&#x022D5;,"parallel, equal; equal or parallel"
\lessdot,&#x022D6;,"less than, with dot"
\gtrdot,&#x022D7;,"greater than, with dot"
\lll,&#x022D8;,triple less-than
\ggg,&#x022D9;,triple greater-than
\lesseqgtr,&#x022DA;,"less, equals, greater"
\gtreqless,&#x022DB;,"greater, equals, less"
,&#x022DC;,equal-or-less
,&#x022DD;,equal-or-greater
\curlyeqprec,&#x022DE;,"curly equals, precedes"
\curlyeqsucc,&#x022DF;,"curly equals, succeeds"
\npreceq,&#x022E0;,DOES NOT PRECEDE OR EQUAL
\nsucceq,&#x022E1;,"not succeeds, curly equals"
\nsqsubseteq,&#x022E2;,"not, square subset, equals"
\nsqsupseteq,&#x022E3;,"not, square superset, equals"
,&#x022E4;,"square subset, not equals"
,&#x022E5;,"square superset, not equals"
\lnsim,&#x022E6;,"less, not similar"
\gnsim,&#x022E7;,"greater, not similar"
\precnsim,&#x022E8;,"precedes, not similar"
\succnsim,&#x022E9;,"succeeds, not similar"
\ntriangleleft,&#x022EA;,"= \NotLeftTriangle (wrisym), not left triangle"
\ntriangleright,&#x022EB;,"= \NotRightTriangle (wrisym), not right triangle"
\ntrianglelefteq,&#x022EC;,"= \nunlhd (wrisym), not left triangle, equals"
\ntrianglerighteq,&#x022ED;,"= \nunrhd (wrisym), not right triangle, equals"
\vdots,&#x022EE;,VERTICAL ELLIPSIS
\cdots,&#x022EF;,"three dots, centered"
\iddots,&#x022F0;,"= \adots (yhmath), three dots, ascending"
\ddots,&#x022F1;,"three dots, descending"
,&#x022F2;,ELEMENT OF WITH LONG HORIZONTAL STROKE
,&#x022F3;,ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
,&#x022F4;,SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
,&#x022F5;,ELEMENT OF WITH DOT ABOVE
\barin,&#x022F6;,ELEMENT OF WITH OVERBAR
,&#x022F7;,SMALL ELEMENT OF WITH OVERBAR
,&#x022F8;,ELEMENT OF WITH UNDERBAR
,&#x022F9;,ELEMENT OF WITH TWO HORIZONTAL STROKES
,&#x022FA;,CONTAINS WITH LONG HORIZONTAL STROKE
,&#x022FB;,CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
,&#x022FC;,SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
,&#x022FD;,CONTAINS WITH OVERBAR
,&#x022FE;,SMALL CONTAINS WITH OVERBAR
,&#x022FF;,"# \mathsf{E}, Z NOTATION BAG MEMBERSHIP"
\diameter,&#x02300;,"# \varnothing (amssymb), DIAMETER SIGN"
,&#x02302;,HOUSE
,&#x02305;,"# \barwedge (amssymb), PROJECTIVE (bar over small wedge) not nand"
,&#x02306;,"# \doublebarwedge (amssymb), PERSPECTIVE (double bar over small wedge)"
\lceil,&#x02308;,LEFT CEILING
\rceil,&#x02309;,RIGHT CEILING
\lfloor,&#x0230A;,LEFT FLOOR
\rfloor,&#x0230B;,RIGHT FLOOR
\invneg,&#x02310;,reverse not
\wasylozenge,&#x02311;,SQUARE LOZENGE
,&#x02312;,profile of a line
,&#x02313;,profile of a surface
,&#x02317;,VIEWDATA SQUARE
,&#x02319;,TURNED NOT SIGN
\ulcorner,&#x0231C;,upper left corner
\urcorner,&#x0231D;,upper right corner
\llcorner,&#x0231E;,lower left corner
\lrcorner,&#x0231F;,lower right corner
,&#x02320;,TOP HALF INTEGRAL
,&#x02321;,BOTTOM HALF INTEGRAL
\frown,&#x02322;,"# \smallfrown, FROWN (down curve)"
\smile,&#x02323;,"# \smallsmile, SMILE (up curve)"
,&#x0232C;,"six carbon ring, corner down, double bonds lower right etc"
,&#x02332;,CONICAL TAPER
,&#x02336;,"APL FUNCTIONAL SYMBOL I-BEAM, top and bottom"
,&#x02337;,APL FUNCTIONAL SYMBOL SQUISH QUAD
,&#x02338;,APL FUNCTIONAL SYMBOL QUAD EQUAL
\APLinv,&#x02339;,APL FUNCTIONAL SYMBOL QUAD DIVIDE
,&#x0233A;,APL FUNCTIONAL SYMBOL QUAD DIAMOND
,&#x0233B;,APL FUNCTIONAL SYMBOL QUAD JOT
,&#x0233C;,"# \APLcirc{\APLbox} (wasysym), APL FUNCTIONAL SYMBOL QUAD CIRCLE"
,&#x0233D;,"# \APLvert{\Circle} (wasysym), x \obar (stmaryrd), APL FUNCTIONAL SYMBOL CIRCLE STILE, circle with vertical bar"
,&#x0233E;,"# \APLcirc{\Circle} (wasysym), APL FUNCTIONAL SYMBOL CIRCLE JOT"
\notslash,&#x0233F;,"APL FUNCTIONAL SYMBOL SLASH BAR, solidus, bar through"
\notbackslash,&#x02340;,APL FUNCTIONAL SYMBOL BACKSLASH BAR
,&#x02341;,APL FUNCTIONAL SYMBOL QUAD SLASH
,&#x02342;,APL FUNCTIONAL SYMBOL QUAD BACKSLASH
,&#x02343;,APL FUNCTIONAL SYMBOL QUAD LESS-THAN
,&#x02344;,APL FUNCTIONAL SYMBOL QUAD GREATER-THAN
,&#x02345;,APL FUNCTIONAL SYMBOL LEFTWARDS VANE
,&#x02346;,APL FUNCTIONAL SYMBOL RIGHTWARDS VANE
\APLleftarrowbox,&#x02347;,APL FUNCTIONAL SYMBOL QUAD LEFTWARDS ARROW
\APLrightarrowbox,&#x02348;,APL FUNCTIONAL SYMBOL QUAD RIGHTWARDS ARROW
\invdiameter,&#x02349;,APL FUNCTIONAL SYMBOL CIRCLE BACKSLASH
,&#x0234A;,APL FUNCTIONAL SYMBOL DOWN TACK UNDERBAR
,&#x0234B;,"# \APLvert{\APLup} (wasysym), APL FUNCTIONAL SYMBOL DELTA STILE"
,&#x0234C;,APL FUNCTIONAL SYMBOL QUAD DOWN CARET
,&#x0234D;,APL FUNCTIONAL SYMBOL QUAD DELTA
,&#x0234E;,APL FUNCTIONAL SYMBOL DOWN TACK JOT
,&#x0234F;,APL FUNCTIONAL SYMBOL UPWARDS VANE
\APLuparrowbox,&#x02350;,APL FUNCTIONAL SYMBOL QUAD UPWARDS ARROW
,&#x02351;,APL FUNCTIONAL SYMBOL UP TACK OVERBAR
,&#x02352;,"# \APLvert{\APLdown} (wasysym), APL FUNCTIONAL SYMBOL DEL STILE"
,&#x02353;,APL FUNCTIONAL SYMBOL QUAD UP CARET
,&#x02354;,APL FUNCTIONAL SYMBOL QUAD DEL
,&#x02355;,APL FUNCTIONAL SYMBOL UP TACK JOT
,&#x02356;,APL FUNCTIONAL SYMBOL DOWNWARDS VANE
\APLdownarrowbox,&#x02357;,APL FUNCTIONAL SYMBOL QUAD DOWNWARDS ARROW
,&#x02358;,APL FUNCTIONAL SYMBOL QUOTE UNDERBAR
,&#x02359;,APL FUNCTIONAL SYMBOL DELTA UNDERBAR
,&#x0235A;,APL FUNCTIONAL SYMBOL DIAMOND UNDERBAR
,&#x0235B;,APL FUNCTIONAL SYMBOL JOT UNDERBAR
,&#x0235C;,APL FUNCTIONAL SYMBOL CIRCLE UNDERBAR
\APLcomment,&#x0235D;,APL FUNCTIONAL SYMBOL UP SHOE JOT
\APLinput,&#x0235E;,APL FUNCTIONAL SYMBOL QUOTE QUAD
\APLlog,&#x0235F;,APL FUNCTIONAL SYMBOL CIRCLE STAR
,&#x02360;,APL FUNCTIONAL SYMBOL QUAD COLON
,&#x02361;,APL FUNCTIONAL SYMBOL UP TACK DIAERESIS
,&#x02362;,APL FUNCTIONAL SYMBOL DEL DIAERESIS
,&#x02363;,APL FUNCTIONAL SYMBOL STAR DIAERESIS
,&#x02364;,APL FUNCTIONAL SYMBOL JOT DIAERESIS
,&#x02365;,APL FUNCTIONAL SYMBOL CIRCLE DIAERESIS
,&#x02366;,APL FUNCTIONAL SYMBOL DOWN SHOE STILE
,&#x02367;,APL FUNCTIONAL SYMBOL LEFT SHOE STILE
,&#x02368;,APL FUNCTIONAL SYMBOL TILDE DIAERESIS
,&#x02369;,APL FUNCTIONAL SYMBOL GREATER-THAN DIAERESIS
,&#x0236A;,APL FUNCTIONAL SYMBOL COMMA BAR
,&#x0236B;,"# \APLnot{\APLdown} (wasysym), APL FUNCTIONAL SYMBOL DEL TILDE"
,&#x0236C;,APL FUNCTIONAL SYMBOL ZILDE
,&#x0236D;,APL FUNCTIONAL SYMBOL STILE TILDE
,&#x0236E;,APL FUNCTIONAL SYMBOL SEMICOLON UNDERBAR
,&#x0236F;,APL FUNCTIONAL SYMBOL QUAD NOT EQUAL
,&#x02370;,APL FUNCTIONAL SYMBOL QUAD QUESTION
,&#x02371;,APL FUNCTIONAL SYMBOL DOWN CARET TILDE
,&#x02372;,APL FUNCTIONAL SYMBOL UP CARET TILDE
,&#x02373;,APL FUNCTIONAL SYMBOL IOTA
,&#x02374;,APL FUNCTIONAL SYMBOL RHO
,&#x02375;,APL FUNCTIONAL SYMBOL OMEGA
,&#x02376;,APL FUNCTIONAL SYMBOL ALPHA UNDERBAR
,&#x02377;,APL FUNCTIONAL SYMBOL EPSILON UNDERBAR
,&#x02378;,APL FUNCTIONAL SYMBOL IOTA UNDERBAR
,&#x02379;,APL FUNCTIONAL SYMBOL OMEGA UNDERBAR
,&#x0237C;,RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW
,&#x02394;,horizontal benzene ring [hexagon flat open]
,&#x0239B;,LEFT PARENTHESIS UPPER HOOK
,&#x0239C;,LEFT PARENTHESIS EXTENSION
,&#x0239D;,LEFT PARENTHESIS LOWER HOOK
,&#x0239E;,RIGHT PARENTHESIS UPPER HOOK
,&#x0239F;,RIGHT PARENTHESIS EXTENSION
,&#x023A0;,RIGHT PARENTHESIS LOWER HOOK
,&#x023A1;,LEFT SQUARE BRACKET UPPER CORNER
,&#x023A2;,LEFT SQUARE BRACKET EXTENSION
,&#x023A3;,LEFT SQUARE BRACKET LOWER CORNER
,&#x023A4;,RIGHT SQUARE BRACKET UPPER CORNER
,&#x023A5;,RIGHT SQUARE BRACKET EXTENSION
,&#x023A6;,RIGHT SQUARE BRACKET LOWER CORNER
,&#x023A7;,LEFT CURLY BRACKET UPPER HOOK
,&#x023A8;,LEFT CURLY BRACKET MIDDLE PIECE
,&#x023A9;,LEFT CURLY BRACKET LOWER HOOK
,&#x023AA;,CURLY BRACKET EXTENSION
,&#x023AB;,RIGHT CURLY BRACKET UPPER HOOK
,&#x023AC;,RIGHT CURLY BRACKET MIDDLE PIECE
,&#x023AD;,RIGHT CURLY BRACKET LOWER HOOK
,&#x023AE;,INTEGRAL EXTENSION
,&#x023AF;,HORIZONTAL LINE EXTENSION (used to extend arrows)
,&#x023B0;,"? \lmoustache, UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION"
,&#x023B1;,"? \rmoustache, UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION"
,&#x023B2;,SUMMATION TOP
,&#x023B3;,SUMMATION BOTTOM
,&#x023B4;,TOP SQUARE BRACKET
,&#x023B5;,BOTTOM SQUARE BRACKET
,&#x023B6;,BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET
,&#x023B7;,RADICAL SYMBOL BOTTOM
,&#x023B8;,LEFT VERTICAL BOX LINE
,&#x023B9;,RIGHT VERTICAL BOX LINE
,&#x023CE;,RETURN SYMBOL
,&#x023D0;,VERTICAL LINE EXTENSION (VERTICAL LINE EXTENSION)
\overparen,&#x023DC;,"= \wideparen (yhmath mathabx fourier), TOP PARENTHESIS (mathematical use)"
\underparen,&#x023DD;,BOTTOM PARENTHESIS (mathematical use)
\overbrace,&#x023DE;,TOP CURLY BRACKET (mathematical use)
\underbrace,&#x023DF;,BOTTOM CURLY BRACKET (mathematical use)
,&#x023E0;,TOP TORTOISE SHELL BRACKET (mathematical use)
,&#x023E1;,BOTTOM TORTOISE SHELL BRACKET (mathematical use)
,&#x023E2;,WHITE TRAPEZIUM
,&#x023E3;,BENZENE RING WITH CIRCLE
,&#x023E4;,STRAIGHTNESS
,&#x023E5;,FLATNESS
,&#x023E6;,"# \AC (wasysym), AC CURRENT"
,&#x023E7;,ELECTRICAL INTERSECTION
,&#x024C8;,oS capital S in circle
,&#x02506;,doubly broken vert
,&#x02580;,UPPER HALF BLOCK
,&#x02584;,LOWER HALF BLOCK
,&#x02588;,FULL BLOCK
,&#x0258C;,LEFT HALF BLOCK
,&#x02590;,RIGHT HALF BLOCK
,&#x02591;,25\% shaded block
,&#x02592;,50\% shaded block
,&#x02593;,75\% shaded block
,&#x025A0;,"square, filled"
,&#x025A1;,"square, open"
,&#x025A2;,WHITE SQUARE WITH ROUNDED CORNERS
,&#x025A3;,WHITE SQUARE CONTAINING BLACK SMALL SQUARE
,&#x025A4;,"square, horizontal rule filled"
,&#x025A5;,"square, vertical rule filled"
,&#x025A6;,SQUARE WITH ORTHOGONAL CROSSHATCH FILL
,&#x025A7;,"square, nw-to-se rule filled"
,&#x025A8;,"square, ne-to-sw rule filled"
