Latex,Mathml,Description
,&#x00020;,SPACE
,&#x000B3;,sup3
,&#x000B4;,"acute, alias for 0301"
\Micro,&#x000B5;,"= \tcmu (mathcomp), t \textmu (textcomp), # \mathrm{\mu} (omlmathrm), # \muup (kpfonts mathdesign), MICRO SIGN"
,&#x000B6;,"para (paragraph sign, pilcrow)"
,&#x000B7;,"# \cdot, x \centerdot, b: MIDDLE DOT"
,&#x000B9;,sup1
,&#x000BC;,frac14
,&#x000BD;,frac12
,&#x000BE;,frac34
,&#x000BF;,iquest
\times,&#x000D7;,"MULTIPLICATION SIGN, z notation Cartesian product"
\eth,&#x000F0;,eth
\div,&#x000F7;,divide sign
\imath,&#x00131;,imath
,&#x001B5;,impedance
\jmath,&#x00237;,jmath
,&#x002C6;,"circ, alias for 0302"
,&#x002C7;,"CARON, alias for 030C"
,&#x002D8;,"BREVE, alias for 0306"
,&#x002D9;,"dot, alias for 0307"
,&#x002DA;,"ring, alias for 030A"
,&#x002DC;,"tilde, alias for 0303"
\grave,&#x00300;,grave accent
\acute,&#x00301;,acute accent
\hat,&#x00302;,"# \widehat (amssymb), circumflex accent"
\tilde,&#x00303;,"# \widetilde (yhmath, fourier), tilde"
\bar,&#x00304;,macron
\overline,&#x00305;,overbar embellishment
\breve,&#x00306;,breve
\dot,&#x00307;,"= \Dot (wrisym), dot above"
\ddot,&#x00308;,"= \DDot (wrisym), dieresis"
,&#x00309;,COMBINING HOOK ABOVE
\mathring,&#x0030A;,"= \ring (yhmath), ring"
\check,&#x0030C;,caron
,&#x00310;,candrabindu (non-spacing)
,&#x00311;,COMBINING INVERTED BREVE
,&#x00312;,COMBINING TURNED COMMA ABOVE
,&#x00315;,COMBINING COMMA ABOVE RIGHT
,&#x0031A;,left angle above (non-spacing)
,&#x00323;,COMBINING DOT BELOW
,&#x0032C;,COMBINING CARON BELOW
,&#x0032D;,COMBINING CIRCUMFLEX ACCENT BELOW
,&#x0032E;,COMBINING BREVE BELOW
,&#x0032F;,COMBINING INVERTED BREVE BELOW
\utilde,&#x00330;,under tilde accent (multiple characters and non-spacing)
\underbar,&#x00331;,COMBINING MACRON BELOW
\underline,&#x00332;,COMBINING LOW LINE
,&#x00333;,2lowbar
\not,&#x00338;,COMBINING LONG SOLIDUS OVERLAY
,&#x0033A;,COMBINING INVERTED BRIDGE BELOW
,&#x0033F;,COMBINING DOUBLE OVERLINE
,&#x00346;,COMBINING BRIDGE ABOVE
,&#x00391;,"capital alpha, greek"
,&#x00392;,"capital beta, greek"
\Gamma,&#x00393;,"= \Gamma (-slantedGreek), = \mathrm{\Gamma}, capital gamma, greek"
\Delta,&#x00394;,"= \Delta (-slantedGreek), = \mathrm{\Delta}, capital delta, greek"
,&#x00395;,"capital epsilon, greek"
,&#x00396;,"capital zeta, greek"
,&#x00397;,"capital eta, greek"
\Theta,&#x00398;,"= \Theta (-slantedGreek), = \mathrm{\Theta}, capital theta, greek"
,&#x00399;,"capital iota, greek"
,&#x0039A;,"capital kappa, greek"
\Lambda,&#x0039B;,"= \Lambda (-slantedGreek), = \mathrm{\Lambda}, capital lambda, greek"
,&#x0039C;,"capital mu, greek"
,&#x0039D;,"capital nu, greek"
\Xi,&#x0039E;,"= \Xi (-slantedGreek), = \mathrm{\Xi}, capital xi, greek"
,&#x0039F;,"capital omicron, greek"
\Pi,&#x003A0;,"= \Pi (-slantedGreek), = \mathrm{\Pi}, capital pi, greek"
,&#x003A1;,"capital rho, greek"
\Sigma,&#x003A3;,"= \Sigma (-slantedGreek), = \mathrm{\Sigma}, capital sigma, greek"
,&#x003A4;,"capital tau, greek"
\Upsilon,&#x003A5;,"= \Upsilon (-slantedGreek), = \mathrm{\Upsilon}, capital upsilon, greek"
\Phi,&#x003A6;,"= \Phi (-slantedGreek), = \mathrm{\Phi}, capital phi, greek"
,&#x003A7;,"capital chi, greek"
\Psi,&#x003A8;,"= \Psi (-slantedGreek), = \mathrm{\Psi}, capital psi, greek"
\Omega,&#x003A9;,"= \Omega (-slantedGreek), = \mathrm{\Omega}, capital omega, greek"
\alpha,&#x003B1;,"= \mathrm{\alpha} (omlmathrm), = \alphaup (kpfonts mathdesign), = \upalpha (upgreek), alpha, greek"
\beta,&#x003B2;,"= \mathrm{\beta} (omlmathrm), = \betaup (kpfonts mathdesign), = \upbeta (upgreek), beta, greek"
\gamma,&#x003B3;,"= \mathrm{\gamma} (omlmathrm), = \gammaup (kpfonts mathdesign), = \upgamma (upgreek), gamma, greek"
\delta,&#x003B4;,"= \mathrm{\delta} (omlmathrm), = \deltaup (kpfonts mathdesign), = \updelta (upgreek), delta, greek"
\varepsilon,&#x003B5;,"= \mathrm{\varepsilon} (omlmathrm), = \varepsilonup (kpfonts mathdesign), = \upepsilon (upgreek), rounded epsilon, greek"
\zeta,&#x003B6;,"= \mathrm{\zeta} (omlmathrm), = \zetaup (kpfonts mathdesign), = \upzeta (upgreek), zeta, greek"
\eta,&#x003B7;,"= \mathrm{\eta} (omlmathrm), = \etaup (kpfonts mathdesign), = \upeta (upgreek), eta, greek"
\theta,&#x003B8;,"= \mathrm{\theta} (omlmathrm), = \thetaup (kpfonts mathdesign), straight theta, = \uptheta (upgreek), theta, greek"
\iota,&#x003B9;,"= \mathrm{\iota} (omlmathrm), = \iotaup (kpfonts mathdesign), = \upiota (upgreek), iota, greek"
\kappa,&#x003BA;,"= \mathrm{\kappa} (omlmathrm), = \kappaup (kpfonts mathdesign), = \upkappa (upgreek), kappa, greek"
\lambda,&#x003BB;,"= \mathrm{\lambda} (omlmathrm), = \lambdaup (kpfonts mathdesign), = \uplambda (upgreek), lambda, greek"
\mu,&#x003BC;,"= \mathrm{\mu} (omlmathrm), = \muup (kpfonts mathdesign), = \upmu (upgreek), mu, greek"
\nu,&#x003BD;,"= \mathrm{\nu} (omlmathrm), = \nuup (kpfonts mathdesign), = \upnu (upgreek), nu, greek"
\xi,&#x003BE;,"= \mathrm{\xi} (omlmathrm), = \xiup (kpfonts mathdesign), = \upxi (upgreek), xi, greek"
,&#x003BF;,"small omicron, greek"
\pi,&#x003C0;,"= \mathrm{\pi} (omlmathrm), = \piup (kpfonts mathdesign), = \uppi (upgreek), pi, greek"
\rho,&#x003C1;,"= \mathrm{\rho} (omlmathrm), = \rhoup (kpfonts mathdesign), = \uprho (upgreek), rho, greek"
\varsigma,&#x003C2;,"= \mathrm{\varsigma} (omlmathrm), = \varsigmaup (kpfonts mathdesign), = \upvarsigma (upgreek), terminal sigma, greek"
\sigma,&#x003C3;,"= \mathrm{\sigma} (omlmathrm), = \sigmaup (kpfonts mathdesign), = \upsigma (upgreek), sigma, greek"
\tau,&#x003C4;,"= \mathrm{\tau} (omlmathrm), = \tauup (kpfonts mathdesign), = \uptau (upgreek), tau, greek"
\upsilon,&#x003C5;,"= \mathrm{\upsilon} (omlmathrm), = \upsilonup (kpfonts mathdesign), = \upupsilon (upgreek), upsilon, greek"
\varphi,&#x003C6;,"= \mathrm{\varphi} (omlmathrm), = \varphiup (kpfonts mathdesign), = \upvarphi (upgreek), curly or open phi, greek"
\chi,&#x003C7;,"= \mathrm{\chi} (omlmathrm), = \chiup (kpfonts mathdesign), = \upchi (upgreek), chi, greek"
\psi,&#x003C8;,"= \mathrm{\psi} (omlmathrm), = \psiup (kpfonts mathdesign), = \uppsi (upgreek), psi, greek"
\omega,&#x003C9;,"= \mathrm{\omega} (omlmathrm), = \omegaup (kpfonts mathdesign), = \upomega (upgreek), omega, greek"
\varbeta,&#x003D0;,"rounded beta, greek"
\vartheta,&#x003D1;,"= \mathrm{\vartheta} (omlmathrm), = \varthetaup (kpfonts mathdesign), curly or open theta"
,&#x003D2;,"# \mathrm{\Upsilon}, GREEK UPSILON WITH HOOK SYMBOL"
\phi,&#x003D5;,"= \mathrm{\phi} (omlmathrm), = \phiup (kpfonts mathdesign), GREEK PHI SYMBOL (straight)"
